depth;tree;no_feats;N_Leaves;Macro_f1_FL;Weighted_f1_FL;Micro_f1_FL;feats;pkt_macro_f1;pkt_weighted_f1;flw_macro_f1;flw_weighted_f1;F1_macro;F1_weighted;num_samples;Macro_F1_PL;Weighted_F1_PL
18;29;13;500;0.704812262613863;0.8460618052424572;0.8441899889663177;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack'];0.6207172584813392;0.8366685366472886;0.8482385669092295;0.9389938740566212;0.6709111485995259;0.8563218386344377;1488248;0.8095975472331913;0.9061163757506094
18;29;14;500;0.7212367907477527;0.861059069034207;0.8628811282277769;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min'];0.6297120546487864;0.8390497416344098;0.8571187734218713;0.9392113478229486;0.6777529642792596;0.8585855855563872;1488248;0.8069995187321282;0.9226848534627776
18;29;15;500;0.697095795050581;0.8595329518051118;0.862517801425023;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean'];0.5775300259204398;0.8372926515255569;0.8538932656925567;0.9313395190975956;0.6396655124998963;0.8559085724797223;1488248;0.7377510947570176;0.8453629655174426
18;29;16;500;0.7156305721853341;0.8607271111615431;0.8613655424605431;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length'];0.6123662351875665;0.842118487305211;0.8699080219344486;0.941478310015155;0.6689913578712092;0.8611645211898448;1488248;0.811030690737152;0.9224813691149659
18;29;17;500;0.6957405033400005;0.8422668215155967;0.8424356623464877;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin'];0.5671078386672221;0.8303358815546923;0.8566231739622077;0.929577435862455;0.6365702235785252;0.8501220244905753;1488248;0.7470992122198409;0.8050248022210862
18;29;18;500;0.707889264669299;0.8493028379875538;0.8499172917183376;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto'];0.6083232722081003;0.8368587570797326;0.8529524096688262;0.9309605619217973;0.6602537894028127;0.8549120731996673;1488248;0.7773269390178658;0.8403081582612203
18;29;19;500;0.6989904749153665;0.8408135822319811;0.8401195538839806;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max'];0.592537376420398;0.8273583220324997;0.8572456032241779;0.9339564727717272;0.652943912923423;0.8484119882922669;1488248;0.7758238351293159;0.8327369233933392
18;29;20;500;0.7007839142839373;0.8323910610151264;0.8344044805324061;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration'];0.5992174192767665;0.8131889402336162;0.8572362190684893;0.9351247818619013;0.6541054146782753;0.8370467325976428;1488248;0.7937694126881186;0.9063554225425196
18;29;21;500;0.6806333526330169;0.8426775568392055;0.8440955768829708;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count'];0.5516963092443051;0.8172487138210466;0.8529132078923946;0.9338873926918897;0.6221699492960505;0.8401758723624759;1488248;0.8119138725465245;0.9190738023316035
18;29;22;500;0.6954117807777761;0.8395553616633723;0.8404362149801988;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push'];0.5677655233563752;0.8262142785821281;0.8534042661207722;0.9333351560865176;0.632865556413824;0.8475052711255316;1488248;0.7832762975617434;0.8880056529349906
18;29;23;500;0.6998982221505452;0.8549122475594434;0.8565863648072117;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count'];0.5741970877426552;0.8399399035349573;0.8452374668134989;0.9343975655605498;0.6380053706480724;0.858174178606954;1488248;0.7981723709894721;0.9093622881731658
18;29;24;500;0.6941591704770621;0.8397090714495178;0.8402778156677374;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count'];0.5811753215951129;0.821137500314931;0.8589522615500185;0.9363526664849493;0.6416989082708928;0.8436652319440595;1488248;0.816368101172657;0.9291929142205471
18;29;25;500;0.6768950130306445;0.8391946564242092;0.8402752155229379;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count', 'SYN Flag Count'];0.5696008381982351;0.8260692959355874;0.8382529841005977;0.9295346379208625;0.6281652128487148;0.8462449679349862;1488248;0.7378565646756519;0.8461316235368012
18;29;26;500;0.6975059469590382;0.8418386428813016;0.8442472889165951;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count', 'SYN Flag Count', 'UDP Len Max'];0.5737100459129095;0.8345794774857185;0.8528589477229126;0.9319044168786372;0.6403452971998015;0.8538475662814373;1488248;0.759433945410172;0.8424577446612284
18;29;27;500;0.6874072942794746;0.8350162153278319;0.8369643566483038;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count', 'SYN Flag Count', 'UDP Len Max', 'ECE Flag Count'];0.5597388915192935;0.8121886115828939;0.8530186861007062;0.9329389274271727;0.6263412752863424;0.8360734902703505;1488248;0.8017127403139521;0.9137031963086004
18;29;28;500;0.6861903211400291;0.81799739755149;0.8139059514308883;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count', 'SYN Flag Count', 'UDP Len Max', 'ECE Flag Count', 'UDP Len Min'];0.5585905441978088;0.808064959034471;0.8644182614975963;0.9361041690833;0.6316006833719016;0.8334703978802337;1488248;0.7853572472331019;0.9105583982727303
18;29;29;500;0.6602960445419049;0.8316241865292525;0.8365724106399314;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count', 'SYN Flag Count', 'UDP Len Max', 'ECE Flag Count', 'UDP Len Min', 'RST Flag Count'];0.5672462395985759;0.8121204149510947;0.8245232769595084;0.9288327128411159;0.6194454744030292;0.8348514880756198;1488248;0.7977354830502766;0.9274291938454816
18;29;30;500;0.68954674385835;0.8289761121456174;0.8287687705776929;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count', 'SYN Flag Count', 'UDP Len Max', 'ECE Flag Count', 'UDP Len Min', 'RST Flag Count', 'ip.hdr_len'];0.5681443675922894;0.8119237538280158;0.8555511801696664;0.9355139203654892;0.6315399439503769;0.8360578237186498;1488248;0.8100594143978807;0.9032279863608011
18;29;31;500;0.6845160943327175;0.8275622453899911;0.8284161866367513;['tcp.window_size_value', 'ip.len', 'tcp.hdr_len', 'srcport', 'ip.ttl', 'dstport', 'udp.length', 'Packet Length Total', 'Packet Length Mean', 'tcp.flags.rst', 'tcp.flags.syn', 'Max Packet Length', 'tcp.flags.ack', 'Flow IAT Min', 'Flow IAT Mean', 'Min Packet Length', 'tcp.flags.fin', 'ip.proto', 'Flow IAT Max', 'Flow Duration', 'PSH Flag Count', 'tcp.flags.push', 'FIN Flag Count', 'ACK Flag Count', 'SYN Flag Count', 'UDP Len Max', 'ECE Flag Count', 'UDP Len Min', 'RST Flag Count', 'ip.hdr_len', 'tcp.flags.ece'];0.5701289739552055;0.8055522026996542;0.8482574954384434;0.932796381694617;0.631274087208774;0.830288865516006;1488248;0.7860522818254646;0.9087318213534381
